# n_values  n_qbit_values  d2Ndt2_values_1  std_d2Ndt2_values_1  relE_values_1  std_relE_values_1  amp_values_1  std_amp_values_1  d2Ndt2_values_2  std_d2Ndt2_values_2  relE_values_2  std_relE_values_2  amp_values_2  std_amp_values_2  Emin_values  std_Emin_values
4.000000000000000000e+00 4.000000000000000000e+00 -1.690466596758905538e-01 6.550248324603671901e-03 1.748657666610911043e+00 1.307301644707261831e-02 1.072059445423816371e-01 4.330587011751017151e-03 -5.106380612395283736e-01 1.140122877423389858e-02 1.217954804597751073e+00 1.147220019938343001e-02 3.469741033011576326e-01 1.006979068433106785e-02 -1.533911226432838726e+00 6.426989809152036312e-03
4.000000000000000000e+00 5.000000000000000000e+00 -2.039868480233332504e-01 8.205476673037928950e-03 1.820656354762877349e+00 1.512503013954241693e-02 7.620754545920621625e-02 3.555666773068635444e-03 -6.325045131879809546e-01 1.507378683053445939e-02 1.292984068812020437e+00 1.202926238477771206e-02 4.093345030546675645e-01 1.020343054251752687e-02 -1.748683705170843483e+00 7.855124178340572999e-03
4.000000000000000000e+00 7.000000000000000000e+00 -2.729252191191617882e-01 1.026282924794382628e-02 2.069291002324936901e+00 1.895559927251874027e-02 8.314197794798056096e-02 4.052633544631906344e-03 -8.446317874398284742e-01 1.962504310099431187e-02 1.475736679231737458e+00 1.598845857217688626e-02 4.734827891008612233e-01 1.027305128570283818e-02 -2.127700306488197413e+00 9.205175213751340749e-03
4.000000000000000000e+00 9.000000000000000000e+00 -3.667696489010295879e-01 1.417491135443537005e-02 2.228968081957507508e+00 2.164208024040687600e-02 8.568073000589164490e-02 4.440883206640443975e-03 -1.011750234583451036e+00 2.510537408791018929e-02 1.557707366491011269e+00 1.781822025266288634e-02 5.390081480718629248e-01 9.710548414137779027e-03 -2.406247254900494514e+00 1.197641739529414773e-02
4.000000000000000000e+00 1.300000000000000000e+01 -5.069823748307165090e-01 2.028851428347937941e-02 2.568733610132106104e+00 2.601315019866026410e-02 1.071280812759222018e-01 4.795092227829179932e-03 -1.423053691921216668e+00 3.373069284378762273e-02 1.790394867369057952e+00 2.088184246282736786e-02 5.788382744614021247e-01 9.478539241087791459e-03 -2.929174170620653328e+00 1.504950562641148987e-02
4.000000000000000000e+00 1.700000000000000000e+01 -6.055757730535481498e-01 2.398142441365323438e-02 2.893019523882105037e+00 3.040225910897433395e-02 1.183067887488387648e-01 5.143749528101109261e-03 -1.713247670865330141e+00 4.279144519738031088e-02 2.087750924342104408e+00 2.385578168305738100e-02 5.817223378602677242e-01 9.322602421993678862e-03 -3.359334925455627285e+00 1.735797909693144112e-02
4.000000000000000000e+00 2.400000000000000000e+01 -7.854069534037374511e-01 2.935611028056836144e-02 3.290261053469899721e+00 3.500817195735572707e-02 1.369798769005027561e-01 5.600493719724543643e-03 -2.357366033931067140e+00 5.664700404038326698e-02 2.347407355402510998e+00 2.819643394240271134e-02 6.198912672570058291e-01 8.791877901890374908e-03 -4.008188107005455691e+00 2.078349820924775895e-02
4.000000000000000000e+00 3.200000000000000000e+01 -1.187564588671095267e+00 4.677758070081201869e-02 3.726319411436587625e+00 4.114712438243845610e-02 1.507261627785662361e-01 5.874473668140403095e-03 -3.212014692590884124e+00 7.640724893242753502e-02 2.637465698127940961e+00 3.234610408014591820e-02 6.373232321615281970e-01 8.224739546300952400e-03 -4.678688926209053633e+00 2.585804818581624934e-02
4.000000000000000000e+00 4.400000000000000000e+01 -1.564224558532671949e+00 6.152748582256264281e-02 4.222780213476714728e+00 4.769501048551771233e-02 1.603663601678500528e-01 6.153850458156643471e-03 -4.079520241681056092e+00 1.033686113071466406e-01 3.058358974204796965e+00 3.630942120337010692e-02 6.518633524605171869e-01 8.152235610371193555e-03 -5.441262103404393535e+00 3.109800772928936891e-02
4.000000000000000000e+00 5.900000000000000000e+01 -2.147133830790523223e+00 9.269616052123634542e-02 4.823365879899249364e+00 5.741846544632964872e-02 1.827463178926415910e-01 6.389445194056499709e-03 -5.430791533127979243e+00 1.378170755119315360e-01 3.476967583004013207e+00 4.528213433868131382e-02 6.590168214296490135e-01 8.147316908550474371e-03 -6.329065830177172280e+00 3.426787387449331534e-02
4.000000000000000000e+00 8.000000000000000000e+01 -2.951053629792527833e+00 1.113977447338214688e-01 5.435972675601782100e+00 5.939526524267210034e-02 1.862230270524812825e-01 6.372851492031737092e-03 -7.434010011683955810e+00 1.890119459758208553e-01 4.029323789571368053e+00 4.881393201349446681e-02 6.586690448494274541e-01 7.603091958452543216e-03 -7.326632021218864921e+00 3.894043202741895998e-02
4.000000000000000000e+00 1.080000000000000000e+02 -3.556654462772333325e+00 1.351624811166346474e-01 6.208189201334895380e+00 6.965053973681263610e-02 1.929671943291722536e-01 6.433899130951992174e-03 -9.195883222362670750e+00 2.229498315678560549e-01 4.611724713252404406e+00 5.984600762009778530e-02 6.728536821943726931e-01 7.900411257995764922e-03 -8.494259361824479271e+00 4.692621077350724035e-02
4.000000000000000000e+00 1.460000000000000000e+02 -5.020677618582139345e+00 2.070915425722011649e-01 7.118844591870363558e+00 8.214950882889800188e-02 2.118824110937893579e-01 6.677197798427680041e-03 -1.258093975758742644e+01 3.102043830453088957e-01 5.368708869585621102e+00 6.781020629475097150e-02 6.779842011219168185e-01 7.764922063999569156e-03 -9.991896172024112843e+00 5.504437384846781744e-02
4.000000000000000000e+00 1.980000000000000000e+02 -7.219027319891345051e+00 2.767422709071046816e-01 8.425821293951379687e+00 9.758753371595597914e-02 2.003366254161378091e-01 6.671339537060135168e-03 -1.741496687930235865e+01 4.107823304755959248e-01 6.159656021716820362e+00 7.965391744729871659e-02 6.793816663490681584e-01 7.741050288912181693e-03 -1.157766049466252056e+01 6.380232683402124738e-02
4.000000000000000000e+00 2.670000000000000000e+02 -9.947409859240572416e+00 3.683716722762889195e-01 9.545960745729884067e+00 1.068524325763617749e-01 2.099178172188310987e-01 6.749362149510071927e-03 -2.385598172164764108e+01 5.959557839924601863e-01 7.011967951480996497e+00 8.975410216185830681e-02 6.836739716141346790e-01 7.556415058241371281e-03 -1.343218063402052032e+01 7.342891541117718690e-02
4.000000000000000000e+00 3.610000000000000000e+02 -1.262105791863547211e+01 4.748459556004427373e-01 1.112489633139090550e+01 1.256312556238331213e-01 2.128456329257367996e-01 6.827808438757277353e-03 -3.077027516494304749e+01 7.580111650518209787e-01 8.166754500782351656e+00 1.005022722841990013e-01 6.907363426305666021e-01 7.326523901811424731e-03 -1.564546018966037622e+01 8.806497771036955746e-02
4.000000000000000000e+00 4.870000000000000000e+02 -1.846210147188153172e+01 6.947907686991735554e-01 1.278999024006322927e+01 1.436130851114414408e-01 2.153650945665505079e-01 6.836002735564742673e-03 -4.298117185836909471e+01 1.086929786155768740e+00 9.475530429507143637e+00 1.218003493196306436e-01 6.885680919157683988e-01 7.535894096496065925e-03 -1.811346442987250782e+01 9.990138320959084106e-02
4.000000000000000000e+00 6.580000000000000000e+02 -2.341730017743941517e+01 9.252459167286762876e-01 1.467368037700484074e+01 1.716943444508953476e-01 2.266288341282564345e-01 7.029908534517488941e-03 -5.621644043254013923e+01 1.452955619494620487e+00 1.093508220096551220e+01 1.394637971513942587e-01 6.918238707963407785e-01 7.530489947676082159e-03 -2.108242951719743630e+01 1.212676798815784385e-01
4.000000000000000000e+00 8.880000000000000000e+02 -3.211323299486591765e+01 1.295006200292666776e+00 1.755509380693227328e+01 2.065127980921783457e-01 2.091258559592384381e-01 6.810201592935987737e-03 -7.689320733627549487e+01 1.872204947877701642e+00 1.270392454700519913e+01 1.657418488830365300e-01 6.921784079982757909e-01 7.685794855289693368e-03 -2.463429685303430361e+01 1.379614434223841168e-01
4.000000000000000000e+00 1.200000000000000000e+03 -4.372053739110426562e+01 1.688684123676612581e+00 1.993661640340589969e+01 2.300231162086568137e-01 2.240506632921759333e-01 6.804385161199049369e-03 -1.011070183656078996e+02 2.440715870716171132e+00 1.480635645313433635e+01 1.845899382942752520e-01 6.971608197854254341e-01 7.028385580073626127e-03 -2.866768754486868431e+01 1.573629078455225372e-01
