# n_values  n_qbit_values  d2Ndt2_values_1  std_d2Ndt2_values_1  relE_values_1  std_relE_values_1  amp_values_1  std_amp_values_1  d2Ndt2_values_2  std_d2Ndt2_values_2  relE_values_2  std_relE_values_2  amp_values_2  std_amp_values_2  Emin_values  std_Emin_values
8.000000000000000000e+00 8.000000000000000000e+00 -1.112859418618596941e-01 4.321200187536685701e-03 1.987479086224213765e+00 1.055988142129537198e-02 4.548417159226071371e-01 5.774649183185462213e-03 -6.441484852377943326e-01 1.138350060126175865e-02 1.255943788659360294e+00 8.306277878521796040e-03 8.941239390971489343e-01 2.225101951647751649e-03 -3.031091911462620025e+00 6.471855480679736781e-03
8.000000000000000000e+00 1.000000000000000000e+01 -1.212975008569118496e-01 4.637155961939637763e-03 2.064408074450964747e+00 1.220833238774964545e-02 5.453910424467757201e-01 5.102704384150219021e-03 -7.418420404728170992e-01 1.227710586250832514e-02 1.328446391858731923e+00 9.117334252587937921e-03 9.118493216701226700e-01 1.748440301035516804e-03 -3.475184231544818925e+00 7.457037698032911548e-03
8.000000000000000000e+00 1.400000000000000000e+01 -1.478259174466158843e-01 5.955608097308986645e-03 2.284377481275906785e+00 1.370411977985228590e-02 6.180876300665110179e-01 4.264691522235309826e-03 -9.206274411027260962e-01 1.527057754621855348e-02 1.483269326771224250e+00 1.138598901903998921e-02 9.291554193155306951e-01 1.332770344556880255e-03 -4.224194448480740327e+00 9.332636618014056654e-03
8.000000000000000000e+00 1.900000000000000000e+01 -1.800293982971508111e-01 7.572300201969086111e-03 2.489818240418633977e+00 1.617300543979944757e-02 6.618318076756457558e-01 3.811284337022146154e-03 -1.203077896307533479e+00 1.926482745149389608e-02 1.670227641535596108e+00 1.283290266062353524e-02 9.338745654257648576e-01 1.143882559810186416e-03 -4.982156032675864488e+00 1.140748791513492705e-02
8.000000000000000000e+00 2.600000000000000000e+01 -2.687155548607755295e-01 1.033665175459092846e-02 2.817762188283335245e+00 1.968765107694461086e-02 6.841547345386830292e-01 3.509746109243463887e-03 -1.552130454176668284e+00 2.582495999333431561e-02 1.854095740012208227e+00 1.521907138666563596e-02 9.404202095657572258e-01 1.063618952943676558e-03 -5.897266038941499922e+00 1.406021336122182872e-02
8.000000000000000000e+00 3.500000000000000000e+01 -3.465293099100907881e-01 1.376003688613401839e-02 3.091274128197428972e+00 2.107069667381808453e-02 7.118544099628310029e-01 3.094039554130716824e-03 -1.917266390599821735e+00 3.196745818664690347e-02 2.092199782422431653e+00 1.714035683702578444e-02 9.442389344534518614e-01 1.024006199795851136e-03 -6.876167167797797575e+00 1.703378519083372303e-02
8.000000000000000000e+00 4.800000000000000000e+01 -4.250540990593751345e-01 1.620759554497573640e-02 3.549145524811185837e+00 2.509492167461931447e-02 7.223391932384711778e-01 3.046167853948308565e-03 -2.511524351581904124e+00 4.331214665353292498e-02 2.400013911319337279e+00 2.060771238543210662e-02 9.481904120815605186e-01 8.855128911301037107e-04 -8.120389329657195177e+00 2.160456978489692231e-02
8.000000000000000000e+00 6.500000000000000000e+01 -6.019072164034041661e-01 2.502728011353726190e-02 4.095385413384105888e+00 2.886371547959359907e-02 7.233523440076976563e-01 2.997834007824245160e-03 -3.367773174878388787e+00 5.734315219638724814e-02 2.746227722979048824e+00 2.228723326678845595e-02 9.483664033903448365e-01 8.683978182243839994e-04 -9.453038313867390130e+00 2.466088206656617127e-02
8.000000000000000000e+00 8.800000000000000000e+01 -7.457252910661099632e-01 2.959189093651494115e-02 4.561783936353989155e+00 3.319034193447082531e-02 7.407883607314199592e-01 2.694428671429695710e-03 -4.124979760731018352e+00 6.749679253466880913e-02 3.121109674644498178e+00 2.609492587035750974e-02 9.522301258445126093e-01 8.039258905904598162e-04 -1.103630876074468148e+01 2.871509210861894132e-02
8.000000000000000000e+00 1.190000000000000000e+02 -1.017432978972402369e+00 3.899714366622437922e-02 5.124773675908732784e+00 3.589808626822630494e-02 7.499795234387235388e-01 2.627832332540666529e-03 -5.254822094688154976e+00 9.360134279201130780e-02 3.488036133934636851e+00 3.065974457035666387e-02 9.550712037702333568e-01 7.331728731806241937e-04 -1.275277231506339604e+01 3.466415328264011581e-02
8.000000000000000000e+00 1.610000000000000000e+02 -1.398902940961086250e+00 5.612499837513647283e-02 5.929585967505960120e+00 3.931045635259321908e-02 7.537322797652575845e-01 2.439818967157190120e-03 -6.966158901817225413e+00 1.166358969406599416e-01 4.031751236059552213e+00 3.339531252447569543e-02 9.561692955309638586e-01 7.108120725279799433e-04 -1.494840216337314054e+01 4.057098118272995518e-02
8.000000000000000000e+00 2.170000000000000000e+02 -1.789387368164773395e+00 7.143864451082987399e-02 6.854965278260085171e+00 5.038188325479454888e-02 7.548475670175018859e-01 2.564448069635994441e-03 -9.269073200755126862e+00 1.522685369271477018e-01 4.633222240452528951e+00 3.992832267695211462e-02 9.561856236577190860e-01 7.118165205096338649e-04 -1.737337930607675673e+01 4.756239974331108455e-02
8.000000000000000000e+00 2.930000000000000000e+02 -2.375462401935858114e+00 1.026562530323263805e-01 7.841665072265126213e+00 5.595691527877647009e-02 7.581002337614409781e-01 2.510164636454976887e-03 -1.274513206981102975e+01 2.236197841497766792e-01 5.343219828735231047e+00 4.516897167636025473e-02 9.554313597465999841e-01 7.353547849122058899e-04 -2.024521467777853090e+01 5.319686666076573617e-02
8.000000000000000000e+00 3.960000000000000000e+02 -3.389384932540932205e+00 1.317790738591130828e-01 9.020581856655566000e+00 6.485885408761356274e-02 7.620303231074117001e-01 2.569795989919585692e-03 -1.683829522922709998e+01 2.929178607697594527e-01 6.183383623169219412e+00 5.588475322722552541e-02 9.561747483477488485e-01 7.294579924806702175e-04 -2.354643333937255534e+01 6.449606340936847593e-02
8.000000000000000000e+00 5.340000000000000000e+02 -4.864403210565813040e+00 1.932969998682202983e-01 1.032996053442203355e+01 7.624140966517448104e-02 7.638536823568566891e-01 2.502550976166252519e-03 -2.211883219921474719e+01 3.761435643829250108e-01 7.222923130529607327e+00 6.235296101923434170e-02 9.565206246498982878e-01 6.637676378390849376e-04 -2.727992193393788511e+01 7.563502748015131505e-02
8.000000000000000000e+00 7.220000000000000000e+02 -5.964128239067361115e+00 2.410616377382164832e-01 1.220209263924309440e+01 8.877149899997120730e-02 7.617588000388844094e-01 2.571851479848854226e-03 -3.007853062251615128e+01 5.360469006809596149e-01 8.324625592593964285e+00 7.800345888591825316e-02 9.574793200653944902e-01 6.862673083295072786e-04 -3.191472744980349319e+01 8.546607038577107296e-02
8.000000000000000000e+00 9.750000000000000000e+02 -8.337800517498980213e+00 3.520317841004325654e-01 1.395333200836581256e+01 9.759884820528540172e-02 7.653751070563510339e-01 2.430398086652486248e-03 -3.902307665892310951e+01 6.743694041909530368e-01 9.562668942921353832e+00 8.648749246421590098e-02 9.580851904840280708e-01 7.157348954931127020e-04 -3.694232469292676768e+01 9.743755504677001356e-02
8.000000000000000000e+00 1.316000000000000000e+03 -1.108791792336197801e+01 4.453798804523196320e-01 1.607798330739813863e+01 1.182773737088086974e-01 7.679385762566183216e-01 2.435253253458071008e-03 -5.318922729637333902e+01 8.958222798040499368e-01 1.090792706428842962e+01 9.305884002538079847e-02 9.579037856130760975e-01 6.886689577177970223e-04 -4.295234968913820239e+01 1.150490682001419074e-01
8.000000000000000000e+00 1.777000000000000000e+03 -1.436745628335988911e+01 5.554232514018772049e-01 1.834872812199542125e+01 1.329335971801584027e-01 7.726266948337230378e-01 2.320003308884983299e-03 -6.908095777895708522e+01 1.153794815016160102e+00 1.254198039650645313e+01 1.184033672882981031e-01 9.584313557135382133e-01 6.667071370139408815e-04 -4.973981583789128535e+01 1.376094013564565510e-01
8.000000000000000000e+00 2.400000000000000000e+03 -1.965904884870716174e+01 7.892835801358413228e-01 2.116295101225847475e+01 1.589515333568193300e-01 7.735263823114855164e-01 2.409190946380916198e-03 -9.170141785186581274e+01 1.527728594125836947e+00 1.487219910979598936e+01 1.307599759742175127e-01 9.585535629522685674e-01 6.446289141159620246e-04 -5.803078622271993225e+01 1.506056659744609005e-01
