# n_values  n_qbit_values  d2Ndt2_values_1  std_d2Ndt2_values_1  relE_values_1  std_relE_values_1  amp_values_1  std_amp_values_1  d2Ndt2_values_2  std_d2Ndt2_values_2  relE_values_2  std_relE_values_2  amp_values_2  std_amp_values_2  Emin_values  std_Emin_values
2.000000000000000000e+00 1.330000000000000000e+02 -2.280468858248004338e+01 8.426390554362307439e-01 6.892001408752702396e+00 1.594981540071747084e-01 2.234244233502554744e-01 9.446830045061371112e-03 -2.609195171246608425e+01 9.447130642337910889e-01 6.887977577194192236e+00 1.315600163412554702e-01 2.998722572922795648e-01 1.114063483990881086e-02 -6.614544513865820541e+00 8.183299258550869038e-02
2.000000000000000000e+00 1.800000000000000000e+02 -3.198097178397079787e+01 1.261410137415123422e+00 8.544200215809132359e+00 1.917787486958984489e-01 2.410566273580797003e-01 9.227853776649577386e-03 -3.741028393566541155e+01 1.399133442546570905e+00 8.113218432612445241e+00 1.552786673251671523e-01 3.062424469274037664e-01 1.147128857699923447e-02 -7.713644685265099277e+00 9.737186241080816873e-02
2.000000000000000000e+00 2.430000000000000000e+02 -3.935435059732412810e+01 1.460040071944847195e+00 9.307863954930823525e+00 2.201613626116308009e-01 2.510483403197291685e-01 9.665822709050021083e-03 -4.517848203124222550e+01 1.667074325000266422e+00 9.040948854847554728e+00 1.703723591721741371e-01 3.410304063565341437e-01 1.139276045918423234e-02 -8.851289732032336488e+00 1.040651619908263409e-01
2.000000000000000000e+00 3.290000000000000000e+02 -5.825323984893837093e+01 2.306850817083091254e+00 1.069218427741374633e+01 2.290468549057728675e-01 2.131796926631600586e-01 8.542910859508222321e-03 -6.867501312803850055e+01 2.724117808223855519e+00 1.089389282766365419e+01 2.028020750160955954e-01 3.272261260691220475e-01 1.151046187774887146e-02 -1.034642022143795437e+01 1.234534255852902940e-01
2.000000000000000000e+00 4.440000000000000000e+02 -7.198978277070177967e+01 2.775400401200105893e+00 1.236087549720082635e+01 2.892754554658965582e-01 2.422938530490215125e-01 9.452800513601115548e-03 -8.325539095420954538e+01 3.098964024172391252e+00 1.248474025721722569e+01 2.331228322098960193e-01 3.379677214251926021e-01 1.162902610197226634e-02 -1.198544801584527875e+01 1.485937546985054702e-01
2.000000000000000000e+00 6.000000000000000000e+02 -9.358240724292846835e+01 3.887074558488685661e+00 1.461377751214255127e+01 3.417303711681343725e-01 2.356470518126327629e-01 9.286817821347905649e-03 -1.104687116289659343e+02 4.510037082286175725e+00 1.402950406775058845e+01 2.701411519773283532e-01 3.450770022633442569e-01 1.211444191897069998e-02 -1.396839348050473895e+01 1.746381929471028938e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
